game_id,sid,period,allocation,a,b,c,signal1,signal2,signal3,signal4,signal5,signal6,signal7,signal8,succinv,directcostaddinfo,option
180,1,9,4,.15,.1,.2,4,4,8,3,8,4,4,,1200,28.125,2
184,1,2,4,.5,.1,.9,7,5,5,4,5,7,,,600,28.125,3
177,1,3,4,.5,.1,.9,5,7,5,5,7,1,7,,600,28.125,3
182,1,1,1,.9,.5,.1,8,2,2,,,,,,600,28.125,2
178,1,5,5,.1,.9,.5,8,6,6,8,5,4,4,,1200,28.125,2
179,1,4,3,.5,.9,.1,1,4,8,4,2,4,,,1200,28.125,2
183,1,6,1,.9,.5,.1,3,3,3,1,3,2,3,,1200,28.125,1
181,1,7,4,.15,.1,.2,3,4,2,4,5,3,,,1200,28.125,1
163,1,8,3,.15,.2,.1,3,4,4,8,4,4,4,,1200,28.125,1
186,2,2,5,.1,.9,.5,4,8,6,6,,,,,600,9,2
185,2,4,4,.5,.1,.9,5,7,5,7,,,,,1200,9,3
192,2,6,5,.1,.9,.5,6,8,8,6,,,,,1200,9,2
191,2,8,6,.1,.15,.2,6,4,,,,,,,1200,9,2
190,2,3,2,.9,.1,.5,3,2,7,,,,,,600,9,1
164,2,9,3,.15,.2,.1,,,,,,,,,1200,9,3
188,2,5,4,.5,.1,.9,5,7,7,7,,,,,1200,9,3
187,2,1,2,.9,.1,.5,3,3,,,,,,,600,9,1
189,2,7,5,.1,.2,.15,4,4,4,4,4,,,,1200,9,2
194,3,3,6,.1,.5,.9,6,5,,,,,,,600,22.5,3
193,3,9,6,.1,.15,.2,3,,,,,,,,1200,22.5,1
199,3,4,4,.5,.1,.9,5,,,,,,,,1200,22.5,3
195,3,7,5,.1,.2,.15,4,8,,,,,,,1200,22.5,2
197,3,2,3,.5,.9,.1,8,,,,,,,,600,22.5,2
165,3,5,4,.5,.1,.9,6,7,,,,,,,1200,22.5,3
200,3,1,1,.9,.5,.1,2,2,,,,,,,600,22.5,2
196,3,8,4,.15,.1,.2,8,,,,,,,,1200,22.5,2
198,3,6,2,.9,.1,.5,7,3,,,,,,,1200,22.5,1
201,4,7,6,.1,.15,.2,4,4,4,4,4,3,4,,1200,17.1,1
202,4,1,5,.1,.9,.5,8,8,,,,,,,600,17.1,2
206,4,8,2,.2,.1,.15,4,4,4,,,,,,1200,17.1,3
204,4,6,4,.5,.1,.9,4,7,3,6,7,5,5,,1200,17.1,3
208,4,4,4,.5,.1,.9,5,5,7,7,,,,,1200,17.1,3
203,4,5,5,.1,.9,.5,5,5,8,8,6,6,8,6,1200,17.1,2
207,4,3,6,.1,.5,.9,5,4,5,6,,,,,600,17.1,3
205,4,2,6,.1,.5,.9,6,6,6,6,5,,,,600,17.1,3
166,4,9,3,.15,.2,.1,8,,,,,,,,1200,17.1,2
213,5,2,2,.9,.1,.5,,,,,,,,,600,21.85714,2
167,5,7,6,.1,.15,.2,4,4,8,4,5,4,,,1200,21.85714,3
211,5,1,5,.1,.9,.5,8,6,8,,,,,,600,21.85714,2
212,5,9,6,.1,.15,.2,4,4,5,4,,,,,1200,21.85714,3
209,5,5,2,.9,.1,.5,7,3,7,7,3,,,,1200,21.85714,1
214,5,4,6,.1,.5,.9,8,5,5,5,,,,,1200,21.85714,3
216,5,3,4,.5,.1,.9,7,5,7,,,,,,600,21.85714,3
215,5,8,1,.2,.15,.1,4,4,5,8,4,4,,,1200,21.85714,3
210,5,6,5,.1,.9,.5,8,8,6,8,,,,,1200,21.85714,2
221,6,5,1,.9,.5,.1,2,8,2,,,,,,1200,32.4,2
224,6,6,6,.1,.5,.9,5,6,6,,,,,,1200,32.4,3
223,6,8,5,.1,.2,.15,4,4,4,,,,,,1200,32.4,1
218,6,4,2,.9,.1,.5,8,,,,,,,,1200,32.4,2
220,6,1,1,.9,.5,.1,3,2,,,,,,,600,32.4,1
168,6,9,2,.2,.1,.15,5,,,,,,,,1200,32.4,3
217,6,7,3,.15,.2,.1,4,5,,,,,,,1200,32.4,3
